"FeedingType","PredatorStage","Slope","Intercept","R_squared","F_stat","df_num","df_den","p_value"
"insectivorous","larva / juvenile",0.00765477052090139,0.0686263121206886,0.621254577117463,49.2088780154159,1,30,8.51926669047009e-08
"piscivorous","adult",0.0003642523584933,37.954859976399,0.021536869262521,389.549182012421,1,17698,8.6746155510426e-86
"piscivorous","juvenile",0.000933361208520276,-3.85131152406203,0.00959947808315375,29.3392617579275,1,3027,6.55097406740034e-08
"piscivorous","larva / juvenile",0.00134665249603753,0.00680013102060948,0.232313578702392,2.72353678574573,1,9,0.133275952079355
"piscivorous","postlarva",1.04070472184005,-0.0172557224910172,0.605743142370175,47.6289430356757,1,31,9.72722953165712e-08
"piscivorous","postlarva/juvenile",-1.02219561112225e-17,0.00929000000000001,NA,NA,1,0,NA
"planktivorous","adult",9.70357409872131e-05,2.57633257445676,0.0148266421747683,2.34776566062414,1,156,0.12748816361192
"planktivorous","juvenile",0.000152499999999997,-0.000343424999999992,1,NA,1,0,NA
"planktivorous","larva",-0.00182838181726768,0.00535952046204474,0.000229535758135438,0.234868991404558,1,1023,0.628040559141266
"planktivorous","larva / juvenile",2.80856755782056e-07,2.28928509448755e-06,0.0281834521378093,3.42209376818832,1,118,0.0668312825188676
"planktivorous","postlarva/juvenile",3.63260944699443e-06,1.07024376987521e-06,0.0763315504427213,21.65156363799,1,262,5.19518130117452e-06
"predacious","adult",0.000877971824293556,7.48346892686192,0.076096790112405,653.067813104218,1,7929,1.72637702925109e-138
"predacious","juvenile",0.000968133409598165,0.0511748190685285,0.070216480775649,158.590259538987,1,2100,4.12858422954408e-35
"predacious","larva",1.97722797096592e-05,4.59987331094895e-06,0.321359300269679,572.975881760159,1,1210,5.60208041878814e-104
"predacious","larva / juvenile",0.000772205990148133,0.00197114511445654,0.126808753413814,70.4338776254893,1,485,5.25237217935058e-16
"predacious","postlarva",-1.22770004677239,0.31217435118383,0.0105760559264123,0.748237314533598,1,70,0.389989666306616
"predacious","postlarva/juvenile",0.0265012157744508,-0.0100243331777108,0.0462761548577479,28.5306686992787,1,588,1.32011188235223e-07
"predacious/piscivorous","adult",0.0162717901170883,9.44882578563793,0.194433583643607,38.3766492391315,1,159,4.79389028064074e-09
